YearMonth,source,target,Rides planned,Final arrival delay,Final arrival cancelled,Completely cancelled,Intermediate arrival delays,Proportion delayed,Significant Delay
2019-01,'s-Hertogenbosch,Arnhem Centraal,57,20,4,0,36,0.3508771929824561,True
2019-01,'s-Hertogenbosch,Den Haag Centraal,1106,99,20,5,853,0.08991825613079019,False
2019-01,'s-Hertogenbosch,Deurne,757,247,8,2,503,0.3271523178807947,True
2019-01,'s-Hertogenbosch,Dordrecht,100,23,3,0,44,0.23,True
2019-01,'s-Hertogenbosch,Eindhoven Centraal,257,81,1,1,138,0.31640625,True
2019-01,'s-Hertogenbosch,Roosendaal,34,9,3,1,15,0.2727272727272727,True
2019-01,'s-Hertogenbosch,Tilburg,7,1,0,0,1,0.14285714285714285,False
2019-01,'s-Hertogenbosch,Utrecht Centraal,40,17,0,0,33,0.425,True
2019-01,'s-Hertogenbosch,Vught,11,0,11,0,0,0.0,False
2019-01,'s-Hertogenbosch,Zwolle,7,1,0,0,4,0.14285714285714285,False
2019-01,Alkmaar,Amsterdam Centraal,217,35,3,1,121,0.16203703703703703,False
2019-01,Alkmaar,Den Helder,26,5,0,0,16,0.19230769230769232,True
2019-01,Alkmaar,Den Helder Zuid,8,0,8,0,0,0.0,False
2019-01,Alkmaar,Haarlem,132,48,6,5,73,0.3779527559055118,True
2019-01,Alkmaar,Hoorn,54,4,1,1,8,0.07547169811320754,False
2019-01,Alkmaar,Maastricht,496,133,1,0,373,0.26814516129032256,True
2019-01,Alkmaar,Rotterdam Centraal,27,8,1,1,23,0.3076923076923077,True
2019-01,Almelo,Apeldoorn,658,148,13,3,363,0.22595419847328244,True
2019-01,Almelo,Deventer,119,20,1,1,61,0.1694915254237288,False
2019-01,Almere Centrum,Almere Oostvaarders,9,0,9,0,0,0.0,False
2019-01,Almere Centrum,Amsterdam Centraal,1119,188,9,9,188,0.16936936936936936,False
2019-01,Almere Centrum,Amsterdam Zuid,7,0,0,0,0,0.0,False
2019-01,Almere Centrum,Den Haag Centraal,11,0,0,0,3,0.0,False
2019-01,Almere Centrum,Utrecht Centraal,881,238,66,61,461,0.29024390243902437,True
2019-01,Almere Oostvaarders,Hoofddorp,1010,77,18,14,385,0.07730923694779117,False
2019-01,Almere Oostvaarders,Schiphol Airport,78,2,0,0,30,0.02564102564102564,False
2019-01,Almere Oostvaarders,Utrecht Centraal,74,9,0,0,45,0.12162162162162163,False
2019-01,Alphen a/d Rijn,Leiden Centraal,396,83,53,52,91,0.24127906976744187,True
2019-01,Amersfoort Centraal,Amersfoort Schothorst,71,9,1,1,9,0.12857142857142856,False
2019-01,Amersfoort Centraal,Amsterdam Centraal,771,118,19,9,218,0.15485564304461943,False
2019-01,Amersfoort Centraal,Amsterdam Zuid,10,3,0,0,5,0.3,True
2019-01,Amersfoort Centraal,Enschede,7,2,0,0,4,0.2857142857142857,True
2019-01,Amersfoort Centraal,Groningen,5,0,0,0,2,0.0,False
2019-01,Amersfoort Centraal,Schiphol Airport,38,6,0,0,11,0.15789473684210525,False
